date,global_interest
2025-07-06,7.86
2025-07-13,9.7
2025-07-20,8.36
2025-07-27,8.04
2025-08-03,8.24
2025-08-10,9.38
2025-08-17,7.04
2025-08-24,7.3
2025-08-31,6.48
2025-09-07,6.34
2025-09-14,6.52
2025-09-21,6.64
2025-09-28,6.96
2025-10-05,9.4
2025-10-12,14.64
